first_name,second_name,now_cost,total_points,form,minutes,team,element_type
Igor Thiago,Nascimento Rodrigues,5.9,1,0.3,18,4,4
Yoane,Wissa,6.1,56,5.7,636,4,4
Yehor,Yarmoliuk,4.4,8,1.0,142,4,3
Fábio,Freitas Gouveia Carvalho,4.8,21,0.3,282,4,3
Sepp,van den Berg,4.1,16,2.7,821,4,2
Ryan,Trevitt,4.5,1,0.0,3,4,3
Simon,Adingra,5.3,18,1.3,227,5,3
Carlos,Baleba,5.0,26,-0.3,673,5,3
Lewis,Dunk,4.4,22,0.0,705,5,2
Julio,Enciso,5.4,7,0.0,84,5,3
Pervis,Estupiñán,5.0,8,1.7,612,5,2
Evan,Ferguson,5.5,13,0.7,104,5,4
Billy,Gilmour,5.0,3,0.0,97,5,3
Jack,Hinshelwood,5.0,28,1.0,839,5,3
Igor Julio,dos Santos de Paulo,4.4,11,1.3,564,5,2
João Pedro,Junqueira de Jesus,5.6,42,7.7,368,5,4
Tariq,Lamptey,4.4,3,0.0,10,5,2
James,Milner,5.0,5,0.0,169,5,3
Yankuba,Minteh,5.2,21,0.0,405,5,3
Mitoma,Kaoru,6.4,47,4.3,1004,5,3
Jakub,Moder,4.4,2,0.7,4,5,3
Jeremy,Sarmiento Morante,4.9,1,0.0,8,5,3
Jason,Steele,4.3,9,0.0,180,5,1
Jan Paul,van Hecke,4.5,24,1.0,819,5,2
Joël,Veltman,4.6,34,1.7,956,5,2
Bart,Verbruggen,4.5,31,3.0,900,5,1
Adam,Webster,4.3,1,0.0,78,5,2
Danny,Welbeck,6.0,66,3.0,1013,5,4
Mats,Wieffer,4.8,13,0.7,259,5,3
Brajan,Gruda,5.4,4,0.7,59,5,3
Yasin,Ayari,5.0,17,1.7,564,5,3
Georginio,Rutter,5.6,45,3.0,666,5,3
Ferdi,Kadioglu,4.5,19,2.0,385,5,2
Matt,O'Riley,5.5,9,3.0,47,5,3
Benoît,Badiashile,4.3,3,0.7,127,6,2
Moisés,Caicedo Corozo,4.9,37,4.3,1055,6,3
Levi,Colwill,4.5,26,1.7,1080,6,2
Marc,Cucurella Saseta,5.0,20,1.3,827,6,2
Kiernan,Dewsbury-Hall,5.6,4,0.3,45,6,3
Axel,Disasi,4.3,7,0.0,94,6,2
Enzo,Fernández,4.8,31,5.7,697,6,3
Malo,Gusto,4.9,11,0.7,726,6,2
Reece,James,4.9,5,1.0,240,6,2
Roméo,Lavia,4.5,12,1.3,345,6,3
Noni,Madueke,6.4,52,2.0,838,6,3
Marc,Guiu Paz,4.8,1,0.0,24,6,4
Mykhailo,Mudryk,6.2,7,0.7,145,6,3
Nicolas,Jackson,8.0,72,5.0,955,6,4
Christopher,Nkunku,5.9,16,0.7,162,6,3
Cole,Palmer,10.9,86,2.3,1045,6,3
Renato,Palma Veiga,4.5,5,0.0,164,6,3
Robert,Sánchez,4.7,45,2.0,1080,6,1
Tosin,Adarabioyo,4.3,7,0.0,171,6,2
Wesley,Fofana,4.5,18,2.0,956,6,2
Jadon,Sancho,6.2,20,0.3,310,6,3
Pedro,Lomba Neto,6.2,25,3.7,555,6,3
João,Félix Sequeira,6.1,12,1.0,198,6,3
Eddie,Nketiah,5.9,12,0.7,488,7,4
Trevoh,Chalobah,4.4,20,2.7,537,7,2
Cheick,Doucouré,4.9,10,1.3,192,7,3
Chris,Richards,4.4,10,0.3,344,7,2
Chadi,Riad Dnanou,4.3,1,0.0,90,7,2
Nathaniel,Clyne,4.4,13,1.3,294,7,2
Eberechi,Eze,6.6,31,0.0,810,7,3
